date,sender,receiver,text_count
20180911,7750-VHV12,8779-QRDMV,10
20180911,7750-VHV12,1680-VDCWW,14
20180911,7750-VHV12,1066-JKSGK,23
20180911,7750-VHV12,3638-WEABW,14
20180911,7750-VHV12,6388-TABGU,19
20180911,7750-VHV12,9763-GRSKD,14
20180912,7750-VHV12,7469-LKBCI,10
20180912,7750-VHV12,8091-TTVAX,15
20180912,7750-VHV12,0280-XJGEX,27
20180912,7750-VHV12,5129-JLPIS,7
20180912,7750-VHV12,3655-SNQYZ,7
20180912,7750-VHV12,8191-XWSZG,23
20180912,7750-VHV12,9959-WOFKT,10
20180913,7750-VHV12,4190-MFLUW,22
20180913,7750-VHV12,4183-MYFRB,7
20180913,7750-VHV12,8779-QRDMV,14
20180913,7750-VHV12,1680-VDCWW,22
20180913,7750-VHV12,1066-JKSGK,19
20180913,7750-VHV12,3638-WEABW,19
20180913,7750-VHV12,6388-TABGU,22
20180914,7750-VHV12,9763-GRSKD,12
20180914,7750-VHV12,7469-LKBCI,7
20180914,7750-VHV12,8091-TTVAX,14
20180914,7750-VHV12,0280-XJGEX,20
20180914,7750-VHV12,5129-JLPIS,23
20180914,7750-VHV12,3655-SNQYZ,12
20180914,7750-VHV12,8191-XWSZG,23
20180915,7750-VHV12,9959-WOFKT,20
20180915,7750-VHV12,4190-MFLUW,23
20180915,7750-VHV12,4183-MYFRB,12
20180915,7750-VHV12,8779-QRDMV,14
20180915,7750-VHV12,1680-VDCWW,12
20180915,7750-VHV12,1066-JKSGK,10
20180915,7750-VHV12,3638-WEABW,14
20180916,7750-VHV12,6388-TABGU,20
20180916,7750-VHV12,9763-GRSKD,12
20180916,7750-VHV12,7469-LKBCI,22
20180916,7750-VHV12,8091-TTVAX,23
20180916,7750-VHV12,0280-XJGEX,23
20180916,7750-VHV12,5129-JLPIS,7
20180916,7750-VHV12,3655-SNQYZ,19
20180917,7750-VHV12,8191-XWSZG,23
20180917,7750-VHV12,9959-WOFKT,12
20180917,7750-VHV12,4190-MFLUW,12
20180917,7750-VHV12,4183-MYFRB,12
20180917,7750-VHV12,8779-QRDMV,22
20180917,7750-VHV12,1680-VDCWW,10
20180917,7750-VHV12,1066-JKSGK,23
20180918,7750-VHV12,3638-WEABW,12
20180918,7750-VHV12,6388-TABGU,14
20180918,7750-VHV12,9763-GRSKD,14
20180918,7750-VHV12,7469-LKBCI,14
20180918,7750-VHV12,8091-TTVAX,22
20180918,7750-VHV12,0280-XJGEX,19
20180918,7750-VHV12,5129-JLPIS,22
20180919,7750-VHV12,3655-SNQYZ,23
20180919,7750-VHV12,8191-XWSZG,22
20180919,7750-VHV12,9959-WOFKT,22
20180919,7750-VHV12,4190-MFLUW,20
20180919,7750-VHV12,4183-MYFRB,23
20180919,7750-VHV12,8779-QRDMV,22
20180919,7750-VHV12,1680-VDCWW,20
20180920,7750-VHV12,1066-JKSGK,24
20180920,7750-VHV12,3638-WEABW,14
20180920,7750-VHV12,6388-TABGU,14
20180920,7750-VHV12,9763-GRSKD,19
20180920,7750-VHV12,7469-LKBCI,19
20180920,7750-VHV12,8091-TTVAX,22
20180920,7750-VHV12,0280-XJGEX,19
20180921,7750-VHV12,5129-JLPIS,10
20180921,7750-VHV12,3655-SNQYZ,20
20180921,7750-VHV12,8191-XWSZG,22
20180921,7750-VHV12,9959-WOFKT,14
20180921,7750-VHV12,4190-MFLUW,20
20180921,7750-VHV12,4183-MYFRB,22
20180921,7750-VHV12,8779-QRDMV,22
20180922,7750-VHV12,1680-VDCWW,23
20180922,7750-VHV12,1066-JKSGK,12
20180922,7750-VHV12,3638-WEABW,23
20180922,7750-VHV12,6388-TABGU,14
20180922,7750-VHV12,9763-GRSKD,23
20180922,7750-VHV12,7469-LKBCI,7
20180922,7750-VHV12,8091-TTVAX,10
20180923,7750-VHV12,0280-XJGEX,20
20180923,7750-VHV12,5129-JLPIS,7
20180923,7750-VHV12,3655-SNQYZ,23
20180923,7750-VHV12,8191-XWSZG,22
20180923,7750-VHV12,9959-WOFKT,23
20180923,7750-VHV12,4190-MFLUW,7
20180923,7750-VHV12,4183-MYFRB,7
20180924,7750-VHV12,8779-QRDMV,22
20180924,7750-VHV12,1680-VDCWW,19
20180924,7750-VHV12,1066-JKSGK,19
20180924,7750-VHV12,3638-WEABW,23
20180924,7750-VHV12,6388-TABGU,20
20180924,7750-VHV12,9763-GRSKD,12
20180924,7750-VHV12,7469-LKBCI,7
20180925,7750-VHV12,8091-TTVAX,23
20180925,7750-VHV12,0280-XJGEX,23
20180925,7750-VHV12,5129-JLPIS,7
20180925,7750-VHV12,3655-SNQYZ,12
20180925,7750-VHV12,8191-XWSZG,14
20180925,7750-VHV12,9959-WOFKT,20
20180925,7750-VHV12,4190-MFLUW,22
20180926,7750-VHV12,4183-MYFRB,7
20180926,7750-VHV12,8779-QRDMV,19
20180926,7750-VHV12,1680-VDCWW,12
20180926,7750-VHV12,1066-JKSGK,14
20180926,7750-VHV12,3638-WEABW,20
20180926,7750-VHV12,6388-TABGU,12
20180926,7750-VHV12,9763-GRSKD,7
20180927,7750-VHV12,7469-LKBCI,10
20180927,7750-VHV12,8091-TTVAX,22
20180927,7750-VHV12,0280-XJGEX,14
20180927,7750-VHV12,5129-JLPIS,10
20180927,7750-VHV12,3655-SNQYZ,7
20180927,7750-VHV12,8191-XWSZG,23
20180927,7750-VHV12,9959-WOFKT,19
20180928,7750-VHV12,4190-MFLUW,23
20180928,7750-VHV12,4183-MYFRB,20
20180928,7750-VHV12,8779-QRDMV,23
20180928,7750-VHV12,1680-VDCWW,22
20180928,7750-VHV12,1066-JKSGK,19
20180928,7750-VHV12,3638-WEABW,20
20180928,7750-VHV12,6388-TABGU,19
20180929,7750-VHV12,9763-GRSKD,23
20180929,7750-VHV12,7469-LKBCI,23
20180929,7750-VHV12,8091-TTVAX,20
20180929,7750-VHV12,0280-XJGEX,14
20180929,7750-VHV12,5129-JLPIS,14
20180929,7750-VHV12,3655-SNQYZ,14
20180929,7750-VHV12,8191-XWSZG,7
20180930,7750-VHV12,9959-WOFKT,23
20180930,7750-VHV12,4190-MFLUW,12
20180930,7750-VHV12,4183-MYFRB,12
20180930,7750-VHV12,8779-QRDMV,10
20180930,7750-VHV12,1680-VDCWW,22
20180930,7750-VHV12,1066-JKSGK,7
20180930,7750-VHV12,3638-WEABW,10
20180901,8060-VHV25,6388-TABGU,14
20180901,8060-VHV25,9763-GRSKD,4
20180901,8060-VHV25,7469-LKBCI,14
20180901,8060-VHV25,8091-TTVAX,4
20180901,8060-VHV25,0280-XJGEX,14
20180901,8060-VHV25,5129-JLPIS,14
20180901,8060-VHV25,3655-SNQYZ,24
20180902,8060-VHV25,8191-XWSZG,14
20180902,8060-VHV25,9959-WOFKT,24
20180902,8060-VHV25,4190-MFLUW,24
20180902,8060-VHV25,4183-MYFRB,74
20180902,8060-VHV25,8779-QRDMV,24
20180902,8060-VHV25,1680-VDCWW,14
20180902,8060-VHV25,1066-JKSGK,22
20180903,8060-VHV25,3638-WEABW,2
20180903,8060-VHV25,6388-TABGU,14
20180903,8060-VHV25,9763-GRSKD,14
20180903,8060-VHV25,7469-LKBCI,24
20180903,8060-VHV25,8091-TTVAX,24
20180903,8060-VHV25,0280-XJGEX,14
20180903,8060-VHV25,5129-JLPIS,14
20180904,8060-VHV25,3655-SNQYZ,74
20180904,8060-VHV25,8191-XWSZG,24
20180904,8060-VHV25,9959-WOFKT,14
20180904,8060-VHV25,4190-MFLUW,14
20180904,8060-VHV25,4183-MYFRB,24
20180904,8060-VHV25,8779-QRDMV,12
20180904,8060-VHV25,1680-VDCWW,12
20180905,8060-VHV25,1066-JKSGK,12
20180905,8060-VHV25,3638-WEABW,12
20180905,8060-VHV25,6388-TABGU,12
20180905,8060-VHV25,9763-GRSKD,12
20180905,8060-VHV25,7469-LKBCI,12
20180905,8060-VHV25,8091-TTVAX,12
20180905,8060-VHV25,0280-XJGEX,12
20180906,8060-VHV25,5129-JLPIS,12
20180906,8060-VHV25,3655-SNQYZ,12
20180906,8060-VHV25,8191-XWSZG,12
20180906,8060-VHV25,9959-WOFKT,12
20180906,8060-VHV25,4190-MFLUW,12
20180906,8060-VHV25,4183-MYFRB,12
20180906,8060-VHV25,8779-QRDMV,14
20180907,8060-VHV25,1680-VDCWW,14
20180907,8060-VHV25,1066-JKSGK,14
20180907,8060-VHV25,3638-WEABW,14
20180907,8060-VHV25,6388-TABGU,24
20180907,8060-VHV25,9763-GRSKD,14
20180907,8060-VHV25,7469-LKBCI,24
20180907,8060-VHV25,8091-TTVAX,14
20180908,8060-VHV25,0280-XJGEX,74
20180908,8060-VHV25,5129-JLPIS,24
20180908,8060-VHV25,3655-SNQYZ,14
20180908,8060-VHV25,8191-XWSZG,24
20180908,8060-VHV25,9959-WOFKT,24
20180908,8060-VHV25,4190-MFLUW,14
20180908,8060-VHV25,4183-MYFRB,14
20180909,8060-VHV25,8779-QRDMV,24
20180909,8060-VHV25,1680-VDCWW,24
20180909,8060-VHV25,1066-JKSGK,24
20180909,8060-VHV25,3638-WEABW,24
20180909,8060-VHV25,6388-TABGU,24
20180909,8060-VHV25,9763-GRSKD,24
20180909,8060-VHV25,7469-LKBCI,14
20180910,8060-VHV25,8091-TTVAX,24
20180910,8060-VHV25,0280-XJGEX,14
20180910,8060-VHV25,5129-JLPIS,24
20180910,8060-VHV25,3655-SNQYZ,14
20180910,8060-VHV25,8191-XWSZG,24
20180910,8060-VHV25,9959-WOFKT,74
20180910,8060-VHV25,4190-MFLUW,24
20180911,8060-VHV25,4183-MYFRB,14
20180911,8060-VHV25,8779-QRDMV,14
20180911,8060-VHV25,1680-VDCWW,14
20180911,8060-VHV25,1066-JKSGK,24
20180911,8060-VHV25,3638-WEABW,14
20180911,8060-VHV25,6388-TABGU,14
20180911,8060-VHV25,9763-GRSKD,14
20180912,8060-VHV25,7469-LKBCI,14
20180912,8060-VHV25,8091-TTVAX,14
20180912,8060-VHV25,0280-XJGEX,24
20180912,8060-VHV25,5129-JLPIS,74
20180912,8060-VHV25,3655-SNQYZ,74
20180912,8060-VHV25,8191-XWSZG,24
20180912,8060-VHV25,9959-WOFKT,14
20180913,8060-VHV25,4190-MFLUW,24
20180913,8060-VHV25,4183-MYFRB,74
20180913,8060-VHV25,8779-QRDMV,14
20180913,8060-VHV25,1680-VDCWW,24
20180913,8060-VHV25,1066-JKSGK,14
20180913,8060-VHV25,3638-WEABW,14
20180913,8060-VHV25,6388-TABGU,24
20180914,8060-VHV25,9763-GRSKD,14
20180914,8060-VHV25,7469-LKBCI,74
20180914,8060-VHV25,8091-TTVAX,14
20180914,8060-VHV25,0280-XJGEX,24
20180914,8060-VHV25,5129-JLPIS,24
20180914,8060-VHV25,3655-SNQYZ,14
20180914,8060-VHV25,8191-XWSZG,24
20180915,8060-VHV25,9959-WOFKT,24
20180915,8060-VHV25,4190-MFLUW,24
20180915,8060-VHV25,4183-MYFRB,14
20180915,8060-VHV25,8779-QRDMV,14
20180915,8060-VHV25,1680-VDCWW,14
20180915,8060-VHV25,1066-JKSGK,14
20180915,8060-VHV25,3638-WEABW,14
20180916,8060-VHV25,6388-TABGU,24
20180916,8060-VHV25,9763-GRSKD,14
20180916,8060-VHV25,7469-LKBCI,24
20180916,8060-VHV25,8091-TTVAX,24
20180916,8060-VHV25,0280-XJGEX,24
20180916,8060-VHV25,5129-JLPIS,74
20180916,8060-VHV25,3655-SNQYZ,14
20180917,8060-VHV25,8191-XWSZG,24
20180917,8060-VHV25,9959-WOFKT,14
20180917,8060-VHV25,4190-MFLUW,14
20180917,8060-VHV25,4183-MYFRB,14
20180917,8060-VHV25,8779-QRDMV,24
20180917,8060-VHV25,1680-VDCWW,14
20180917,8060-VHV25,1066-JKSGK,24
20180918,8060-VHV25,3638-WEABW,14
20180918,8060-VHV25,6388-TABGU,14
20180918,8060-VHV25,9763-GRSKD,14
20180918,8060-VHV25,7469-LKBCI,14
20180918,8060-VHV25,8091-TTVAX,24
20180918,8060-VHV25,0280-XJGEX,14
20180918,8060-VHV25,5129-JLPIS,24
20180919,8060-VHV25,3655-SNQYZ,24
20180919,8060-VHV25,8191-XWSZG,24
20180919,8060-VHV25,9959-WOFKT,24
20180919,8060-VHV25,4190-MFLUW,24
20180919,8060-VHV25,4183-MYFRB,24
20180919,8060-VHV25,8779-QRDMV,24
20180919,8060-VHV25,1680-VDCWW,24
20180920,8060-VHV25,1066-JKSGK,24
20180920,8060-VHV25,3638-WEABW,14
20180920,8060-VHV25,6388-TABGU,14
20180920,8060-VHV25,9763-GRSKD,14
20180920,8060-VHV25,7469-LKBCI,14
20180920,8060-VHV25,8091-TTVAX,24
20180920,8060-VHV25,0280-XJGEX,14
20180921,8060-VHV25,5129-JLPIS,14
20180921,8060-VHV25,3655-SNQYZ,24
20180921,8060-VHV25,8191-XWSZG,24
20180921,8060-VHV25,9959-WOFKT,14
20180921,8060-VHV25,4190-MFLUW,24
20180921,8060-VHV25,4183-MYFRB,24
20180921,8060-VHV25,8779-QRDMV,24
20180922,8060-VHV25,1680-VDCWW,24
20180922,8060-VHV25,1066-JKSGK,14
20180922,8060-VHV25,3638-WEABW,24
20180922,8060-VHV25,6388-TABGU,14
20180922,8060-VHV25,9763-GRSKD,24
20180922,8060-VHV25,7469-LKBCI,74
20180922,8060-VHV25,8091-TTVAX,14
20180923,8060-VHV25,0280-XJGEX,24
20180923,8060-VHV25,5129-JLPIS,74
20180923,8060-VHV25,3655-SNQYZ,24
20180923,8060-VHV25,8191-XWSZG,24
20180923,8060-VHV25,9959-WOFKT,24
20180923,8060-VHV25,4190-MFLUW,74
20180923,8060-VHV25,4183-MYFRB,74
20180924,8060-VHV25,8779-QRDMV,24
20180924,8060-VHV25,1680-VDCWW,14
20180924,8060-VHV25,1066-JKSGK,14
20180924,8060-VHV25,3638-WEABW,24
20180924,8060-VHV25,6388-TABGU,24
20180924,8060-VHV25,9763-GRSKD,14
20180924,8060-VHV25,7469-LKBCI,74
20180925,8060-VHV25,8091-TTVAX,24
20180925,8060-VHV25,0280-XJGEX,24
20180925,8060-VHV25,5129-JLPIS,74
20180925,8060-VHV25,3655-SNQYZ,14
20180925,8060-VHV25,8191-XWSZG,14
20180925,8060-VHV25,9959-WOFKT,24
20180925,8060-VHV25,4190-MFLUW,24
20180926,8060-VHV25,4183-MYFRB,74
20180926,8060-VHV25,8779-QRDMV,14
20180926,8060-VHV25,1680-VDCWW,14
20180926,8060-VHV25,1066-JKSGK,14
20180926,8060-VHV25,3638-WEABW,24
20180926,8060-VHV25,6388-TABGU,14
20180926,8060-VHV25,9763-GRSKD,74
20180927,8060-VHV25,7469-LKBCI,14
20180927,8060-VHV25,8091-TTVAX,24
20180927,8060-VHV25,0280-XJGEX,14
20180927,8060-VHV25,5129-JLPIS,14
20180927,8060-VHV25,3655-SNQYZ,74
20180927,8060-VHV25,8191-XWSZG,24
20180927,8060-VHV25,9959-WOFKT,14
20180928,8060-VHV25,4190-MFLUW,24
20180928,8060-VHV25,4183-MYFRB,24
20180928,8060-VHV25,8779-QRDMV,24
20180928,8060-VHV25,1680-VDCWW,24
20180928,8060-VHV25,1066-JKSGK,14
20180928,8060-VHV25,3638-WEABW,24
20180928,8060-VHV25,6388-TABGU,14
20180929,8060-VHV25,9763-GRSKD,24
20180929,8060-VHV25,7469-LKBCI,24
20180929,8060-VHV25,8091-TTVAX,24
20180929,8060-VHV25,0280-XJGEX,14
20180929,8060-VHV25,5129-JLPIS,14
20180929,8060-VHV25,3655-SNQYZ,14
20180929,8060-VHV25,8191-XWSZG,74
20180930,8060-VHV25,9970-WOFKT,24
20180930,8060-VHV25,4170-MFLUW,14
20180930,8060-VHV25,4170-MYFRB,14
20180930,8060-VHV25,8770-QRDMV,14
20180930,8060-VHV25,1670-VDCWW,24
20180930,8060-VHV25,1070-JKSGK,74
20180930,8060-VHV25,3670-WEABW,14
